"","name","treshold","spec..estimate","sens..estimate","f_meas..estimate"
"1","boosting",0.01,0.962264150943396,0.423611111111111,0.583732057416268
"2","boosting",0.02,0.933962264150943,0.513888888888889,0.657777777777778
"3","boosting",0.03,0.924528301886792,0.604166666666667,0.728033472803347
"4","boosting",0.04,0.924528301886792,0.645833333333333,0.759183673469388
"5","boosting",0.05,0.915094339622642,0.673611111111111,0.776
"6","boosting",0.06,0.915094339622642,0.708333333333333,0.8
"7","boosting",0.07,0.915094339622642,0.729166666666667,0.813953488372093
"8","boosting",0.08,0.915094339622642,0.743055555555556,0.823076923076923
"9","boosting",0.09,0.915094339622642,0.743055555555556,0.823076923076923
"10","boosting",0.1,0.915094339622642,0.743055555555556,0.823076923076923
"11","boosting",0.11,0.89622641509434,0.743055555555556,0.816793893129771
"12","boosting",0.12,0.886792452830189,0.756944444444444,0.822641509433962
"13","boosting",0.13,0.877358490566038,0.763888888888889,0.823970037453183
"14","boosting",0.14,0.877358490566038,0.777777777777778,0.83271375464684
"15","boosting",0.15,0.867924528301887,0.791666666666667,0.838235294117647
"16","boosting",0.16,0.858490566037736,0.798611111111111,0.839416058394161
"17","boosting",0.17,0.849056603773585,0.8125,0.844765342960289
"18","boosting",0.18,0.839622641509434,0.826388888888889,0.85
"19","boosting",0.19,0.830188679245283,0.833333333333333,0.851063829787234
"20","boosting",0.2,0.830188679245283,0.833333333333333,0.851063829787234
"21","boosting",0.21,0.830188679245283,0.833333333333333,0.851063829787234
"22","boosting",0.22,0.830188679245283,0.833333333333333,0.851063829787234
"23","boosting",0.23,0.820754716981132,0.833333333333333,0.848056537102473
"24","boosting",0.24,0.811320754716981,0.833333333333333,0.845070422535211
"25","boosting",0.25,0.792452830188679,0.833333333333333,0.839160839160839
"26","boosting",0.26,0.783018867924528,0.833333333333333,0.836236933797909
"27","boosting",0.27,0.783018867924528,0.833333333333333,0.836236933797909
"28","boosting",0.28,0.783018867924528,0.840277777777778,0.840277777777778
"29","boosting",0.29,0.783018867924528,0.840277777777778,0.840277777777778
"30","boosting",0.3,0.783018867924528,0.840277777777778,0.840277777777778
"31","boosting",0.31,0.773584905660377,0.840277777777778,0.837370242214533
"32","boosting",0.32,0.773584905660377,0.840277777777778,0.837370242214533
"33","boosting",0.33,0.773584905660377,0.840277777777778,0.837370242214533
"34","boosting",0.34,0.773584905660377,0.840277777777778,0.837370242214533
"35","boosting",0.35,0.773584905660377,0.840277777777778,0.837370242214533
"36","boosting",0.36,0.764150943396226,0.840277777777778,0.83448275862069
"37","boosting",0.37,0.764150943396226,0.840277777777778,0.83448275862069
"38","boosting",0.38,0.764150943396226,0.854166666666667,0.842465753424657
"39","boosting",0.39,0.764150943396226,0.854166666666667,0.842465753424657
"40","boosting",0.4,0.764150943396226,0.854166666666667,0.842465753424657
"41","boosting",0.41,0.745283018867924,0.854166666666667,0.836734693877551
"42","boosting",0.42,0.735849056603774,0.854166666666667,0.833898305084746
"43","boosting",0.43,0.726415094339623,0.861111111111111,0.835016835016835
"44","boosting",0.44,0.726415094339623,0.868055555555556,0.838926174496644
"45","boosting",0.45,0.726415094339623,0.868055555555556,0.838926174496644
"46","boosting",0.46,0.726415094339623,0.868055555555556,0.838926174496644
"47","boosting",0.47,0.716981132075472,0.875,0.84
"48","boosting",0.48,0.707547169811321,0.875,0.837209302325581
"49","boosting",0.49,0.707547169811321,0.875,0.837209302325581
"50","boosting",0.5,0.707547169811321,0.881944444444444,0.841059602649006
"51","boosting",0.51,0.69811320754717,0.881944444444444,0.838283828382838
"52","boosting",0.52,0.69811320754717,0.881944444444444,0.838283828382838
"53","boosting",0.53,0.69811320754717,0.881944444444444,0.838283828382838
"54","boosting",0.54,0.69811320754717,0.881944444444444,0.838283828382838
"55","boosting",0.55,0.69811320754717,0.881944444444444,0.838283828382838
"56","boosting",0.56,0.69811320754717,0.881944444444444,0.838283828382838
"57","boosting",0.57,0.69811320754717,0.881944444444444,0.838283828382838
"58","boosting",0.58,0.69811320754717,0.881944444444444,0.838283828382838
"59","boosting",0.59,0.69811320754717,0.881944444444444,0.838283828382838
"60","boosting",0.6,0.69811320754717,0.895833333333333,0.845901639344262
"61","boosting",0.61,0.688679245283019,0.895833333333333,0.843137254901961
"62","boosting",0.62,0.679245283018868,0.895833333333333,0.840390879478827
"63","boosting",0.63,0.679245283018868,0.895833333333333,0.840390879478827
"64","boosting",0.64,0.679245283018868,0.895833333333333,0.840390879478827
"65","boosting",0.65,0.679245283018868,0.902777777777778,0.844155844155844
"66","boosting",0.66,0.679245283018868,0.902777777777778,0.844155844155844
"67","boosting",0.67,0.679245283018868,0.902777777777778,0.844155844155844
"68","boosting",0.68,0.679245283018868,0.916666666666667,0.851612903225806
"69","boosting",0.69,0.679245283018868,0.916666666666667,0.851612903225806
"70","boosting",0.7,0.669811320754717,0.916666666666667,0.84887459807074
"71","boosting",0.71,0.669811320754717,0.916666666666667,0.84887459807074
"72","boosting",0.72,0.650943396226415,0.916666666666667,0.843450479233227
"73","boosting",0.73,0.650943396226415,0.916666666666667,0.843450479233227
"74","boosting",0.74,0.650943396226415,0.916666666666667,0.843450479233227
"75","boosting",0.75,0.650943396226415,0.916666666666667,0.843450479233227
"76","boosting",0.76,0.650943396226415,0.916666666666667,0.843450479233227
"77","boosting",0.77,0.650943396226415,0.916666666666667,0.843450479233227
"78","boosting",0.78,0.650943396226415,0.916666666666667,0.843450479233227
"79","boosting",0.79,0.650943396226415,0.916666666666667,0.843450479233227
"80","boosting",0.8,0.641509433962264,0.923611111111111,0.844444444444445
"81","boosting",0.81,0.641509433962264,0.923611111111111,0.844444444444445
"82","boosting",0.82,0.641509433962264,0.923611111111111,0.844444444444445
"83","boosting",0.83,0.641509433962264,0.923611111111111,0.844444444444445
"84","boosting",0.84,0.641509433962264,0.923611111111111,0.844444444444445
"85","boosting",0.85,0.641509433962264,0.923611111111111,0.844444444444445
"86","boosting",0.86,0.641509433962264,0.923611111111111,0.844444444444445
"87","boosting",0.87,0.632075471698113,0.930555555555556,0.845425867507886
"88","boosting",0.88,0.622641509433962,0.944444444444444,0.85
"89","boosting",0.89,0.622641509433962,0.944444444444444,0.85
"90","boosting",0.9,0.60377358490566,0.944444444444444,0.84472049689441
"91","boosting",0.91,0.594339622641509,0.944444444444444,0.842105263157895
"92","boosting",0.92,0.594339622641509,0.958333333333333,0.849230769230769
"93","boosting",0.93,0.584905660377358,0.958333333333333,0.846625766871166
"94","boosting",0.94,0.518867924528302,0.958333333333333,0.828828828828829
"95","boosting",0.95,0.481132075471698,0.958333333333333,0.818991097922849
"96","boosting",0.96,0.462264150943396,0.965277777777778,0.81764705882353
"97","boosting",0.97,0.443396226415094,0.965277777777778,0.812865497076023
"98","boosting",0.98,0.433962264150943,0.972222222222222,0.813953488372093
"99","boosting",0.99,0.386792452830189,0.979166666666667,0.805714285714286
"100","lasso",0.01,1,0.0555555555555556,0.105263157894737
