URLs,Category 1,Country,Price/month
0180.info,Business,Germany,€2.99
24o.it,News,Italy,€1.00
50plus.de,Shopping,Germany,€2.99
750g.com,Restaurants & Dining,France,€2.00
abitare.it,Business,Italy,€0.75
additive-manufacturing-industry.de,Business,Germany,€2.99
aerokurier.de,Transportation,Germany,€2.99
aerotelegraph.com,Travel,USA,€3.30
aerztezeitung.de,Health & Medicine,Germany,€2.99
allesbeste.de,Education,Germany,€2.99
allgemeine-zeitung.de,News,Germany,€2.99
allocine.fr,Streaming Media & Downloads,France,€2.00
amandinecooking.com,Restaurants & Dining,France,€2.00
amica.it,Fashion & Beauty,Italy,€0.75
analog-praxis.de,Shopping,Germany,€2.99
androidnext.de,Computers & Technology,Germany,€1.99
anime2you.de,Entertainment,Germany,€2.99
ansa.it,News,Italy,€1.42
ansamed.info,News,Italy,€1.42
astroportal.com,Religion,Austria,€4.16
atlantico.fr,News,France,€9.90
aufunsere.art,Entertainment,Austria,€2.99
auszeit.bio,Personal Sites,Germany,€2.99
autlook.at,Business,Austria,€2.99
auto-motor-und-sport.de,Transportation,Germany,€0.99
autobild.de,Transportation,Germany,€3.99
autoflotte.de,Transportation,Germany,€3.99
autofrage.net,Transportation,Germany,€2.99
autoguru.de,Transportation,Germany,€2.99
autohaus.de,Transportation,Germany,€2.99
automobil-industrie.vogel.de,Business,Germany,€2.99
autoservice.co.at,Transportation,Austria,€2.99
autoservicepraxis.de,Transportation,Germany,€2.99
backenmachtgluecklich.de,Restaurants & Dining,Germany,€2.99
bahnblogstelle.com,Unknown,Germany,€2.99
basic-tutorials.de,Computers & Technology,Germany,€2.99
baugewerbe-magazin.de,News,Germany,€2.99
bba-online.de,Computers & Technology,Germany,€2.99
beauxarts.com,General,France,€3.95
bento.de,Entertainment,Germany,€4.99
bigdata-insider.de,Business,Germany,€2.99
bike-x.de,Transportation,Germany,€2.99
bild.de,News,Germany,€3.99
blechnet.com,Business,Germany,€2.99
boersennews.de,Finance,Germany,€1.99
boomer.at,Unknown,Austria,€2.99
braunschweiger-zeitung.de,News,Germany,€2.99
bravo.de,Entertainment,Germany,€2.99
brigitte.de,Leisure & Recreation,Germany,€4.99
bz-berlin.de,News,Germany,€3.99
calcionapoli1926.it,Sports,Italy,€0.83
caminteresse.fr,News,France,€1.99
capital.de,Finance,Germany,€4.99
capital.fr,News,France,€1.99
caravaning.de,Travel,Germany,€2.99
cavallo.de,Business,Germany,€2.99
cesoirtv.com,Entertainment,France,€1.99
chartsinfrance.net,Entertainment,France,€1.00
cinefacts.de,Entertainment,Germany,€1.99
cittaceleste.it,Sports,Italy,€0.83
climate-data.org,News,USA,€2.99
cloudcomputing-insider.de,Computers & Technology,Germany,€2.99
cnv-medien.de,News,Germany,€1.99
computer-automation.de,Computers & Technology,Germany,€2.99
computerbase.de,Computers & Technology,Germany,€4.00
computerbild.de,Computers & Technology,Germany,€2.99
computerfrage.net,Computers & Technology,Germany,€2.99
connect-living.de,Shopping,Germany,€2.99
connect-professional.de,Unknown,Germany,€2.99
connect.de,Computers & Technology,Germany,€2.99
corriere.it,News,Italy,€1.25
cosmopolitan.de,Leisure & Recreation,Germany,€2.99
das-pta-magazin.de,Health & Medicine,Germany,€2.99
datacenter-insider.de,Computers & Technology,Germany,€2.99
derbyderbyderby.it,Sports,Italy,€0.83
derstandard.at,News,Austria,€8.90
derstandard.de,News,Germany,€8.90
derwesten.de,News,Germany,€2.99
desired.de,Shopping,Germany,€1.99
dev-insider.de,Computers & Technology,Germany,€2.99
devicemed.de,Business,Germany,€2.99
dieharke.de,News,Germany,€4.99
diestandard.at,News,Austria,€8.90
dino-online.de,Forums & Newsgroups,Germany,€2.99
dnn-online.de,News,Germany,€4.99
dnn.de,News,Germany,€4.99
donnerwetter.de,News,Germany,€2.99
dumontreise.de,Travel,Germany,€2.99
easyvoyage.com,Travel,France,€2.00
eat.de,Computers & Technology,Germany,€2.99
echo-online.de,News,Germany,€2.99
egovernment-computing.de,Computers & Technology,Germany,€2.99
eklablog.com,Computers & Technology,France,€1.00
ekladata.com,Computers & Technology,France,€1.00
elektroniknet.de,Business,Germany,€2.99
elektronikpraxis.de,News,Germany,€2.99
elektropraxis.at,Business,Austria,€2.99
elektrotechnik.vogel.de,Business,Germany,€2.99
eltern.de,Leisure & Recreation,Germany,€4.99
embedded-software-engineering.de,Computers & Technology,Germany,€2.99
emtb-news.de,News,Germany,€2.99
en.kunststoffe.de,Business,Germany,€2.99
entsorgen.org,Computers & Technology,Switzerland,€2.99
erbrecht-ratgeber.de,Business,Germany,€2.99
erdbeerlounge.de,Leisure & Recreation,Germany,€1.99
erneuerbareenergien.de,Business,Germany,€4.99
esports.com,Sports,Germany,€2.99
etmm-online.com,Entertainment,Germany,€2.99
eurogamer.de,Games,Germany,€2.50
europamester.dk,Sports,Denmark,€3.89
express.de,News,Germany,€4.99
factorynet.at,Business,Austria,€2.99
fahrschule-online.de,Transportation,Germany,€2.99
falk.de,Education,Germany,€2.99
familie.de,Education,Germany,€1.99
farmeramania.de,Games,Germany,€1.04
faszination-fankurve.de,Sports,Germany,€2.99
faz.de,News,Germany,€4.99
faz.net,News,Germany,€4.99
fcinter1908.it,Sports,Italy,€0.83
femmeactuelle.fr,Leisure & Recreation,France,€1.99
finance-magazin.de,Finance,Germany,€5.90
finanzfrage.net,Finance,Germany,€2.99
finanzmarktwelt.de,News,Germany,$49.00
firmenwagen.co.at,Computers & Technology,Austria,€2.99
flugrevue.de,Travel,Germany,€2.99
fn.de,News,Germany,€2.99
form-werkzeug.de,Business,Germany,€2.99
formel1.de,Sports,Germany,€2.99
forzaroma.info,News,Italy,€0.83
fraenkische-rezepte.de,Restaurants & Dining,Germany,€2.99
free-fonts.com,Computers & Technology,USA,€2.99
freenet.de,Search Engines & Portals,Germany,€2.99
funandnews.de,News,Germany,€2.99
funkschau.de,Computers & Technology,Germany,€2.99
fussballfieber.de,Shopping,Germany,€2.99
gabler-banklexikon.de,Education,Germany,€2.99
gala.de,Fashion & Beauty,Germany,€4.99
gala.fr,Entertainment,France,€1.99
gamestar.de,Games,Germany,€4.99
gamona.de,Games,Germany,€1.99
gartendialog.de,Computers & Technology,Germany,€2.99
gartenjournal.net,Personal Sites,Germany,€2.99
gartenlexikon.de,Health & Medicine,Germany,€2.99
gastromand.dk,Restaurants & Dining,Denmark,€3.89
gazzetta.it,News,Italy,€0.83
geb-info.de,Business,Germany,€4.99
gentside.com,Leisure & Recreation,France,€1.99
geo.de,Leisure & Recreation,Germany,€4.99
geo.fr,Leisure & Recreation,France,€1.99
gesund-verlieben.de,Business,Germany,€2.99
gesundheitsfrage.net,Health & Medicine,Germany,€2.99
gifhorner-rundschau.de,News,Germany,€2.99
giga.de,Computers & Technology,Germany,€1.99
glaswelt.de,Business,Germany,€4.99
gnz.de,News,Germany,€4.99
goettinger-tageblatt.de,News,Germany,€4.99
goquiz.dk,Entertainment,Denmark,€3.89
goslarsche.de,News,Germany,€2.99
